product_id,product_name,price,old_price_text,discount_percent,brand,category,color
342679,Điện thoại iPhone 17 Pro Max 256GB,34590000.0,37.990.000₫,-8%,iPhone (Apple),Điện thoại,Cam Vũ Trụ
329138,Điện thoại iPhone 16 Plus 128GB,24990000.0,25.990.000₫,-3%,iPhone (Apple),Điện thoại,Xanh Lưu Ly
342667,Điện thoại iPhone 17 256GB,24590000.0,24.990.000₫,-1%,iPhone (Apple),Điện thoại,Xanh Lá Xô Thơm
342676,Điện thoại iPhone 17 Pro 256GB,31990000.0,34.990.000₫,-8%,iPhone (Apple),Điện thoại,Cam Vũ Trụ
281570,Điện thoại iPhone 15 128GB,18990000.0,,,iPhone (Apple),Điện thoại,Xanh dương nhạt
342670,Điện thoại iPhone Air 256GB,22990000.0,31.990.000₫,-28%,iPhone (Apple),Điện thoại,Vàng Nhạt
342692,Điện thoại iPhone 17e 256GB,17590000.0,17.990.000₫,-2%,iPhone (Apple),Điện thoại,Đen
329135,Điện thoại iPhone 16 128GB,20990000.0,21.990.000₫,-4%,iPhone (Apple),Điện thoại,Xanh Lưu Ly
334864,Điện thoại iPhone 16e 128GB,16990000.0,,,iPhone (Apple),Điện thoại,Trắng
370544,Điện thoại Samsung Galaxy S26 FE 5G 8GB/128GB,16990000.0,18.990.000₫,-10%,Samsung,Điện thoại,Xanh Dương
368057,Điện thoại Samsung Galaxy Z Fold8 12GB/256GB,43990000.0,46.990.000₫,-6%,Samsung,Điện thoại,Trắng
368050,Điện thoại Samsung Galaxy Z Fold8 Ultra 12GB/256GB,49990000.0,52.990.000₫,-5%,Samsung,Điện thoại,Tím
363401,Điện thoại Samsung Galaxy A37 5G 6GB/128GB,9990000.0,10.290.000₫,,Samsung,Điện thoại,Trắng
361947,Điện thoại Samsung Galaxy S26 5G 12GB/256GB,20650000.0,25.990.000₫,-20%,Samsung,Điện thoại,Xanh Dương
333363,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,17480000.0,22.580.000₫,-22%,Samsung,Điện thoại,Xanh lá
341688,Điện thoại Samsung Galaxy A17 5G 8GB/128GB,6190000.0,7.090.000₫,-12%,Samsung,Điện thoại,Xám
342560,Điện thoại Samsung Galaxy S25 FE 5G 8GB/128GB,13590000.0,16.690.000₫,-18%,Samsung,Điện thoại,Xanh dương nhạt
338738,Điện thoại Samsung Galaxy Z Fold7 5G 12GB/256GB,39490000.0,46.990.000₫,-15%,Samsung,Điện thoại,Đen
361951,Điện thoại Samsung Galaxy S26 Ultra 5G 12GB/256GB,28990000.0,36.990.000₫,-21%,Samsung,Điện thoại,Đen
363398,Điện thoại Samsung Galaxy A57 5G 8GB/128GB,10790000.0,12.490.000₫,-13%,Samsung,Điện thoại,Tím
341802,Điện thoại Samsung Galaxy A07 4GB/64GB,3490000.0,3.890.000₫,-10%,Samsung,Điện thoại,Đen
341797,Điện thoại Samsung Galaxy A17 4GB/128GB,5490000.0,5.690.000₫,-3%,Samsung,Điện thoại,Xám
333347,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,26390000.0,33.380.000₫,-20%,Samsung,Điện thoại,Xanh Dương
361949,Điện thoại Samsung Galaxy S26+ 5G 12GB/256GB,22990000.0,29.990.000₫,-23%,Samsung,Điện thoại,Xanh Dương
361709,Điện thoại Samsung Galaxy A07 5G 4GB/128GB,5090000.0,,,Samsung,Điện thoại,Tím
368045,Điện thoại Samsung Galaxy A27 6GB/128GB,7690000.0,8.490.000₫,-9%,Samsung,Điện thoại,Xanh đen
368053,Điện thoại Samsung Galaxy Z Flip8 5G 12GB/256GB,29490000.0,31.990.000₫,-7%,Samsung,Điện thoại,Đen
338741,Điện thoại Samsung Galaxy Z Flip7 FE 5G 8GB/128GB,16990000.0,22.990.000₫,-26%,Samsung,Điện thoại,Trắng
335955,Điện thoại Samsung Galaxy S25 Edge 5G 12GB/512GB,20990000.0,35.990.000₫,-41%,Samsung,Điện thoại,Bạc
